,Year,YearlyChange,Migrants(net),MedianAge,FertilityRate,UrbanPopulation,Yearly%Change,UrbanPop%,Country,Continent,LossFunctCheck,Population
81,2035,104316.72877164051,23243.299258037936,35.52390766694151,1.4440478153338887,6552665.677658692,0.902072316547003,56.66376215020431,Azerbaijan,Asia,0.6028059833943894,11564120.399010718
82,2040,105027.30049464136,28737.268755152356,36.867889530090736,1.2882357790601873,6870006.703627378,0.8716687933914065,57.01727480130069,Azerbaijan,Asia,0.6028059833943894,12048991.691673517
83,2050,106448.44394064299,39725.20774938166,39.55585325638907,0.9766117065127844,7504688.755564719,0.8176558617431081,57.6453024993652,Azerbaijan,Asia,0.6028059833943894,13018734.276999176
84,2022,3590.1513074599206,1325.8622252647765,33.274425902181974,1.6279071350642198,351082.2090727929,0.8897375474313154,87.00776009025694,Bahamas,Latin America and the Caribbean,0.3416321043383019,403506.77768120915
85,2025,3877.211046990931,1624.3470733718132,33.341797197032065,1.5316240725474017,363847.1500412207,0.9254740102163654,86.84878820712586,Bahamas,Latin America and the Caribbean,0.27483308514979293,418943.26628194377
86,2030,3750.3087386644693,1842.3417147568107,34.69649629018954,1.3750906842539123,386822.05152514577,0.8480384209016099,87.47012168980115,Bahamas,Latin America and the Caribbean,0.27483308514979293,442233.3524319865
87,2035,3623.406430338,2060.336356141808,36.05119538334702,1.218557295960423,409796.95300906897,0.7783510195264937,88.02928468162638,Bahamas,Latin America and the Caribbean,0.27483308514979293,465523.43858202733
88,2040,3496.504122011538,2278.3309975268057,37.4058944765045,1.0620239076669407,432771.854492994,0.7153042919440631,88.53516373758437,Bahamas,Latin America and the Caribbean,0.27483308514979293,488813.5247320682
89,2050,3242.6995053586143,2714.320280296801,40.115292662819456,0.7489571310799619,478721.6574608423,0.6056663579220084,89.41488480617946,Bahamas,Latin America and the Caribbean,0.27483308514979293,535393.6970321499
90,2022,72095.43321475387,52874.19818927348,33.07570026348458,1.6481179465981768,1572711.9678599834,4.088211941813004,89.18151346542767,Bahrain,Asia,0.07962179356766434,1763495.489981413
91,2025,76525.37345424574,56658.13355317386,33.27188788128609,1.5635201978565476,1642512.9843363613,4.155882860104736,89.20036911919496,Bahrain,Asia,0.10418826757874179,1841374.6496290118
92,2030,85983.31780708954,64858.94146743603,34.45985160758454,1.2502473206924947,1832342.420445174,4.1880780900761785,89.24979100947006,Bahrain,Asia,0.10418826757874179,2053049.536273703
93,2035,95441.2621599338,73059.7493816982,35.64781533388299,0.9369744435284275,2022171.8565540016,4.214254996947746,89.28997436024386,Bahrain,Asia,0.10418826757874179,2264724.4229183793
94,2040,104899.20651277807,81260.55729596037,36.83577906018138,0.6237015663643746,2212001.2926628143,4.235956863163809,89.3232882161114,Bahrain,Asia,0.10418826757874179,2476399.3095630705
95,2050,123815.0952184666,97662.17312448472,39.21170651277828,-0.002844187963745526,2591660.1648804545,4.2698554833810745,89.37532492746207,Bahrain,Asia,0.10418826757874179,2899749.082852423
96,2022,1489090.1648902893,-418610.6302032843,28.251292612345424,1.328940254047211,68472922.03904724,0.8668406103947199,39.85998358951679,Bangladesh,Asia,0.09625588430848135,171783618.23775482
97,2025,1449515.1558120325,-502937.1508656256,28.412366034624938,1.4256471558120438,70821693.26957989,0.823127070536033,40.21707029253737,Bangladesh,Asia,0.08665521563533041,176098588.86891985
98,2030,1285195.7650453448,-559506.5820280313,29.857543281121252,0.9789447650453269,78358869.97444391,0.6904419869972659,42.09650806163884,Bangladesh,Asia,0.08665521563533041,186141021.1500411
99,2035,1120876.3742786497,-616076.0131904371,31.302720527617566,0.5322423742786384,85896046.67930794,0.5713409335369597,43.78353279903266,Bangladesh,Asia,0.08665521563533041,196183453.43116236
100,2040,956556.9835119545,-672645.4443528466,32.74789777411377,0.08553998351194991,93433223.38417196,0.46383943519413406,45.306253897983346,Bangladesh,Asia,0.08665521563533041,206225885.71228313
101,2050,627918.2019785643,-785784.3066776618,35.638252267106395,-0.8078647980214271,108507576.79390001,0.27745840673360406,47.946275933545,Bangladesh,Asia,0.08665521563533041,226310750.27452564
102,2022,560.110151344561,200.35078879029606,42.30497047148492,1.7682034840963752,85570.90486175567,0.19272992692927052,29.444340906316402,Barbados,Latin America and the Caribbean,0.13804609917619762,290619.1893852139
103,2025,339.29018961253314,265.9307502060983,42.386562242374225,1.6022918384171483,87066.80708985985,0.11563401307629068,29.673372875994968,Barbados,Latin America and the Caribbean,0.09642518982663656,293417.29183841706
104,2030,217.73701566364616,476.43775762572477,44.25280296784831,1.5747980214344608,85909.86232481449,0.07309117996500919,28.838703372568432,Barbados,Latin America and the Caribbean,0.09642518982663656,297897.79802143434
105,2035,96.18384171475918,686.9447650453367,46.11904369332228,1.5473042044517733,84752.91755976918,0.0318091081196503,28.028769386332637,Barbados,Latin America and the Caribbean,0.09642518982663656,302378.30420445185
106,2040,-25.369332234127796,897.4517724649631,47.98528441879637,1.5198103874690858,83595.97279472381,-0.008267428333602044,27.242487412751025,Barbados,Latin America and the Caribbean,0.09642518982663656,306858.81038746913
107,2050,-268.47568013190175,1318.4657873042015,51.717765869744426,1.4648227535037108,81282.08326463314,-0.08500912887328359,25.736852916947374,Barbados,Latin America and the Caribbean,0.09642518982663656,315819.8227535037
108,2022,-19487.848410867155,1800.9108932763338,41.070892740667205,1.6105314041374186,7361380.22826004,-0.21289143853625417,80.41805300233676,Belarus,Europe,0.11950368877892208,9153890.144599915
109,2025,-7772.549051937342,14549.068425391568,41.59744435284421,1.5737922506183013,7572055.196207747,-0.08419760021097614,82.0257127906877,Belarus,Europe,8.880596480793292,9231318.983511955
110,2030,-7860.3149216817765,17385.53173948871,42.705441055234985,1.5603132728771643,7696325.759686731,-0.08631106487305434,84.51036358557924,Belarus,Europe,8.880596480793292,9106960.889942288
111,2035,-7948.080791426211,20221.995053586084,43.81343775762576,1.5468342951360263,7820596.323165707,-0.08848304852838221,87.06381101838139,Belarus,Europe,8.880596480793292,8982602.79637263
